,Location,Postcode
1008,Sonstraal,7550
1009,Sonstraal Heights,7550
1010,Sorrento,7500
1011,South End,7140
1012,South Riding,7780
1013,Southern Cross,7806
1014,Southern Hills,7945
1015,Southfield,7800
1016,Southfield,7880
1017,Southfork,7140
1018,Soutrivier,7925
1019,Spandau Village,7100
1020,Spanish Farm,7130
1021,Springbokpark,7560
1022,Square Hill,7945
1023,St Augistine,7493
1024,St Augustine,7493
1025,St Duma,7580
1026,St Dumas,7580
1027,St James,7945
1028,St James,7946
1029,St Kilda,7560
1030,St Michaels,7560
1031,St Montagu Village,7945
1032,Station Park,7750
1033,Steenberg,7945
1034,Steenberg,7947
1035,Steenberg Estate,7945
1036,Steenberg Industria,7945
1037,Stellenberg,7550
1038,Stellenridge,7530
1039,Stellenryk,7550
1040,Steurhof,7800
1041,Steynsrust,7130
1042,Stikland,7530
1043,Stonehill Estate,7493
1044,Stonehurst Estate,7945
1045,Stoney Brook Village,7100
1046,Strand,7139
1047,Strand,7140
1048,Strandfontein,7788
1049,Strandfontein,7798
1050,Strandfontein Village,7798
1051,Stratford Green,7100
1052,Stratford Park,7100
1053,Stuart's Hill,7130
1054,Suideinde,7140
1055,Suider Strand,7140
1056,Suiderkruis,7806
1057,Summer Greens,7441
1058,Summerville,7570
1059,Sun Boulevard,7798
1060,Sun City,7130
1061,Sun Valley,7975
1062,Sunbird Park,7580
1063,Sunbury Estate,7945
1064,Sunkist Estate,7530
1065,Sunlands Estate,7780
1066,Sunningdale,7441
1067,Sunny Cove,7975
1068,Sunnybrae,7700
1069,Sunnydale,7975
1070,Sunnyside,7764
1071,Sunridge,7441
1072,Sunridge Estate,7441
1073,Sunset Beach,7441
1074,Surrey Estate,7764
1075,Surwell,7762
1076,Surwell,7764
1077,Swartklip,7785
1078,Sweet Valley,7945
1079,Sybrandpark,7700
1080,Sydneyvale,7490
1081,Table Bay Harbour,8001
1082,Table View,7441
1083,Tafelsig,7785
1084,Tambo Village,7750
1085,Tamboerskloof,8001
1086,Tara,7550
1087,Tembani,7784
1088,Thalman Estate,7530
1089,The Akkers,7530
1090,The Avenues,7490
1091,The Boulders,7975
1092,The Conifers,7100
1093,The Crest,7550
1094,The Farm,7785
1095,The Hague,7100
1096,The Island,7500
1097,The Islands,7500
1098,The Lakes,7975
1099,The Leagues,7785
1100,The Oaks,7530
1101,The Palms,7530
1102,The Pines,7530
1103,The Range,7490
1104,The Ridge,7441
1105,The River Hamlet,7441
1106,The Vines Estate,7806
1107,Thornton,7460
1108,Thornton,7485
1109,Three Anchor Bay,8005
1110,Timour Hall Estate,7800
1111,Tokai,7945
1112,Tokai,7966
1113,Town Two,7784
1114,Triangle Farm,7530
1115,Trovato Estate,7800
1116,Tuine,8001
1117,Turfhall Estate,7780
1118,Turfhall Park,7780
1119,Tuscany Glen,7100
1120,Tussendal,7945
1121,Twin Palms,7140
1122,Tyger Falls,7530
1123,Tyger Manor,7530
1124,Tyger Valley,7530
1125,Tyger Waterfront,7530
1126,Tygerberg,7505
1127,Tygerberg Business Park,7493
1128,Tygerberg Hills,7530
1129,Tygerdal,7460
1130,Tygerhof Estate,7441
1131,Tygerpark,7530
1132,Uitsig,7493
1133,Uitzicht,7550
1134,Uitzicht,7570
1135,Unathi,7750
1136,Unibell,7539
1137,University Estate,7925
1138,Upper Claremont,7708
1139,Upper Woodstock,7925
1140,Upper Wynberg,7800
1141,Valhalla Park,7490
1142,Valley Estate,7806
1143,Valmary Park,7550
1144,Valyland,7978
1145,Van Der Stel,7130
